Sector,Avg Open Price,Avg Close Price,Max High Price,Min Low Price,Avg Volume
TECHNOLOGY,73.71,73.74,99.8300,100.1100,2.6681044E7
FINANCE,22.7,22.73,33.7388,14.3800,25084.0
