Sector,Avg Open Price,Avg Close Price,Max High Price,Min Low Price,Avg Volume
TECHNOLOGY,73.71,73.74,99.83,100.11,2.668104358E7
FINANCE,22.7,22.73,33.74,14.38,25083.75
